Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.920039980009995,0.9171496406571861,0.920039980009995,0.9128774241373228
Random Forest,0.9940029985007496,0.9940827876896802,0.9940029985007496,0.994026314349159
SVM,0.9495252373813093,0.948123680479329,0.9495252373813093,0.947808476852907
Decision Tree,0.9880059970014993,0.988040996460418,0.9880059970014993,0.9880216675375934
Gradient Boosting,0.9825087456271864,0.982378073782472,0.9825087456271864,0.9823067674846953
